AccessionNumber,ClusterSize,Length,ClusterRepresentative
NP_612698,3,1357,NP_612698
AAM00704,3,1357,NP_612698
ADY62511,3,1074,NP_612698
AMB66138,153,1324,AMB66138
QBH76145,153,1082,AMB66138
AMB66065,153,1078,AMB66138
AMB66427,153,885,AMB66138
SBO07665,153,880,AMB66138
QBH82946,153,804,AMB66138
QCY51895,153,571,AMB66138
QCY52023,153,567,AMB66138
QCY52022,153,567,AMB66138
QCY52021,153,567,AMB66138
QCY52020,153,567,AMB66138
QCY52019,153,567,AMB66138
QCY52018,153,567,AMB66138
QCY52017,153,567,AMB66138
QCY52016,153,567,AMB66138
QCY52015,153,567,AMB66138
QCY52014,153,567,AMB66138
QCY52013,153,567,AMB66138
QCY52012,153,567,AMB66138
QCY52011,153,567,AMB66138
QCY52010,153,567,AMB66138
QCY52009,153,567,AMB66138
QCY52008,153,567,AMB66138
QCY52007,153,567,AMB66138
QCY52006,153,567,AMB66138
QCY52005,153,567,AMB66138
QCY52004,153,567,AMB66138
QCY52003,153,567,AMB66138
QCY52002,153,567,AMB66138
QCY52001,153,567,AMB66138
QCY52000,153,567,AMB66138
QCY51999,153,567,AMB66138
QCY51998,153,567,AMB66138
QCY51997,153,567,AMB66138
QCY51996,153,567,AMB66138
QCY51995,153,567,AMB66138
QCY51994,153,567,AMB66138
QCY51993,153,567,AMB66138
QCY51992,153,567,AMB66138
QCY51991,153,567,AMB66138
QCY51990,153,567,AMB66138
QCY51989,153,567,AMB66138
QCY51988,153,567,AMB66138
QCY51987,153,567,AMB66138
QCY51986,153,567,AMB66138
QCY51985,153,567,AMB66138
QCY51984,153,567,AMB66138
QCY51983,153,567,AMB66138
QCY51982,153,567,AMB66138
QCY51981,153,567,AMB66138
QCY51980,153,567,AMB66138
QCY51979,153,567,AMB66138
QCY51978,153,567,AMB66138
QCY51977,153,567,AMB66138
QCY51976,153,567,AMB66138
QCY51975,153,567,AMB66138
QCY51974,153,567,AMB66138
QCY51973,153,567,AMB66138
QCY51972,153,567,AMB66138
QCY51971,153,567,AMB66138
QCY51970,153,567,AMB66138
QCY51969,153,567,AMB66138
QCY51968,153,567,AMB66138
QCY51967,153,567,AMB66138
QCY51966,153,567,AMB66138
QCY51965,153,567,AMB66138
QCY51964,153,567,AMB66138
QCY51963,153,567,AMB66138
QCY51962,153,567,AMB66138
QCY51961,153,567,AMB66138
QCY51960,153,567,AMB66138
QCY51959,153,567,AMB66138
QCY51958,153,567,AMB66138
QCY51957,153,567,AMB66138
QCY51956,153,567,AMB66138
QCY51955,153,567,AMB66138
QCY51954,153,567,AMB66138
QCY51953,153,567,AMB66138
QCY51952,153,567,AMB66138
QCY51951,153,567,AMB66138
QCY51950,153,567,AMB66138
QCY51949,153,567,AMB66138
QCY51947,153,567,AMB66138
QCY51946,153,567,AMB66138
QCY51945,153,567,AMB66138
QCY51944,153,567,AMB66138
QCY51943,153,567,AMB66138
QCY51942,153,567,AMB66138
QCY51941,153,567,AMB66138
QCY51940,153,567,AMB66138
QCY51939,153,567,AMB66138
QCY51938,153,567,AMB66138
QCY51937,153,567,AMB66138
QCY51936,153,567,AMB66138
QCY51935,153,567,AMB66138
QCY51934,153,567,AMB66138
QCY51933,153,567,AMB66138
QCY51932,153,567,AMB66138
QCY51931,153,567,AMB66138
QCY51930,153,567,AMB66138
QCY51929,153,567,AMB66138
QCY51928,153,567,AMB66138
QCY51927,153,567,AMB66138
QCY51926,153,567,AMB66138
QCY51925,153,567,AMB66138
QCY51924,153,567,AMB66138
QCY51923,153,567,AMB66138
QCY51922,153,567,AMB66138
QCY51921,153,567,AMB66138
QCY51920,153,567,AMB66138
QCY51919,153,567,AMB66138
QCY51918,153,567,AMB66138
QCY51917,153,567,AMB66138
QCY51916,153,567,AMB66138
QCY51915,153,567,AMB66138
QCY51914,153,567,AMB66138
QCY51913,153,567,AMB66138
QCY51912,153,567,AMB66138
QCY51911,153,567,AMB66138
QCY51910,153,567,AMB66138
QCY51909,153,567,AMB66138
QCY51908,153,567,AMB66138
QCY51907,153,567,AMB66138
QCY51906,153,567,AMB66138
QCY51905,153,567,AMB66138
QCY51904,153,567,AMB66138
QCY51903,153,567,AMB66138
QCY51902,153,567,AMB66138
QCY51901,153,567,AMB66138
QCY51900,153,567,AMB66138
QCY51899,153,567,AMB66138
QCY51898,153,567,AMB66138
QCY51897,153,567,AMB66138
QCY51896,153,567,AMB66138
QCY51894,153,567,AMB66138
QCY51893,153,567,AMB66138
QCY51892,153,567,AMB66138
QCY51891,153,567,AMB66138
QCY51890,153,567,AMB66138
QCY51889,153,567,AMB66138
QCY51888,153,567,AMB66138
QCY51887,153,567,AMB66138
QCY51886,153,567,AMB66138
QCY51884,153,567,AMB66138
QCY51883,153,567,AMB66138
QCY51882,153,567,AMB66138
QCY51881,153,567,AMB66138
QCY51880,153,567,AMB66138
QCY51879,153,567,AMB66138
QCY51878,153,567,AMB66138
QCY51877,153,567,AMB66138
