AccessionNumber,ClusterSize,Length,ClusterRepresentative
AXQ04852,1,851,AXQ04852
P27454,2,849,P27454
YP_004222723,2,849,YP_004222723
ADV74757,2,849,YP_004222723
YP_002854229,2,849,YP_002854229
ACJ09132,2,849,YP_002854229
AXQ04862,5,807,AXQ04862
AXQ04859,5,791,AXQ04862
ALF05517,5,297,AXQ04862
ALF05515,5,297,AXQ04862
ALF05513,5,297,AXQ04862
Q90185,4,805,Q90185
NP_694827,4,805,Q90185
CAA52899,4,805,Q90185
ALL74042,1,796,ALL74042
APA19411,1,793,APA19411
AAM28943,1,793,AAM28943
AZU96659,1,791,AZU96659
AXQ04865,1,791,AXQ04865
YP_002265406,2,791,YP_002265406
ABX83663,2,791,YP_002265406
AJI02597,1,791,AJI02597
ABU95011,10,791,ABU95011
ABU95008,10,791,ABU95011
ABU95005,10,791,ABU95011
ABU95002,10,791,ABU95011
ABU94999,10,791,ABU95011
ABU94993,10,791,ABU95011
ABU94981,10,791,ABU95011
ABU94975,10,791,ABU95011
ABU94972,10,791,ABU95011
ABU94969,10,791,ABU95011
ABU94996,1,791,ABU94996
ABU94990,1,791,ABU94990
ABU94987,1,791,ABU94987
ABU94984,2,791,ABU94984
ABU94978,2,791,ABU94984
ABU94966,1,791,ABU94966
ACS70953,1,791,ACS70953
AYH52678,1,790,AYH52678
AAP78907,1,790,AAP78907
AAT35223,1,790,AAT35223
YP_164339,3,775,YP_164339
AAU12253,3,775,YP_164339
AVM80379,1,774,AVM80379
YP_009508778,4,768,AAG10007
ALS03970,4,768,AAG10007
AAG10007,4,768,AAG10007
ALS03967,2,768,ALS03967
AGO44085,2,768,ALS03967
YP_006589928,3,760,YP_006589928
AFP74562,3,760,YP_006589928
NP_542609,2,754,NP_542609
AAK55488,2,754,NP_542609
NP_694834,2,754,NP_694834
BAA96073,2,754,NP_694834
YP_006576512,2,753,YP_006576512
AFP33716,2,753,YP_006576512
NP_694838,3,753,NP_694838
AAL56544,3,753,NP_694838
AWA28230,1,753,AWA28230
YP_009021036,2,752,YP_009021036
AHL24859,2,752,YP_009021036
AIT71975,1,750,AIT71975
ARV85890,1,748,ARV85890
ARV85889,1,728,ARV85889
ARV85888,1,721,ARV85888
YP_009362129,2,710,YP_009362129
ACI01073,2,710,YP_009362129
ACG50803,1,710,ACG50803
NP_874376,3,698,AAN41665
AAN41665,3,698,AAN41665
YP_009256211,3,679,YP_009256211
ANH56809,3,679,YP_009256211
ALV85426,3,447,YP_009256211
AWV66978,1,671,AWV66978
AWV66976,1,670,AWV66976
YP_004678720,3,669,YP_004678720
AEI26263,3,669,YP_004678720
AIU96359,2,666,AIU96359
AIU96356,2,666,AIU96359
YP_003572961,5,666,YP_003572961
ALS03960,5,666,YP_003572961
AKE98351,5,666,YP_003572961
AAF59415,5,666,YP_003572961
AIY34704,5,525,YP_003572961
AAR11281,2,666,AAR11281
AAR11288,2,666,AAR11281
ANN89695,1,666,ANN89695
AAM28234,1,666,AAM28234
ALS03998,2,666,ALS03998
AIY51515,2,666,ALS03998
ALS03995,2,666,ALS03995
AIY51518,2,666,ALS03995
ALS03992,2,666,ALS03992
AIY51521,2,666,ALS03992
ALS03989,2,666,ALS03989
AIY51524,2,666,ALS03989
ALS03986,3,666,ALS03986
AKE98348,3,666,ALS03986
AIY51527,3,666,ALS03986
ALS03963,2,666,ALS03963
AGK30043,2,666,ALS03963
ALS03957,2,666,ALS03957
AFR11649,2,666,ALS03957
ALS03954,2,666,ALS03954
AFX58966,2,666,ALS03954
ALE60551,1,666,ALE60551
ALE60548,1,666,ALE60548
ALE60546,1,666,ALE60546
ALE60543,1,666,ALE60543
ALE60540,1,666,ALE60540
ALE60537,2,666,ALE60537
AKS11057,2,666,ALE60537
AKE98354,1,666,AKE98354
AIJ28503,1,666,AIJ28503
AIJ19291,1,666,AIJ19291
ADB12609,1,666,ADB12609
AAM93906,1,666,AAM93906
AGW23423,2,666,AGW23423
AEV46269,1,666,AEV46269
AAR15382,1,666,AAR15382
AAR15379,1,666,AAR15379
AAR11285,1,666,AAR11285
ABR23509,1,666,ABR23509
ACV52075,1,666,ACV52075
AXL93742,1,664,AXL93742
AOS51057,1,664,AOS51057
AWS20449,1,625,AWS20449
AXQ04869,1,621,AXQ04869
AWV66973,1,614,AWV66973
YP_009552708,2,612,YP_009552708
AVH76852,2,612,YP_009552708
ARV85887,1,587,ARV85887
ASU47551,1,584,ASU47551
ARI46485,2,583,ARI46485
ASY04033,2,288,ARI46485
YP_009134732,2,579,YP_009134732
AKC42760,2,579,YP_009134732
YP_271915,5,579,YP_271915
ALK24435,5,579,YP_271915
ALK24432,5,579,YP_271915
AAY84084,5,579,YP_271915
YP_003799994,5,578,ADK63426
ALS03893,5,578,ADK63426
ALS03890,5,578,ADK63426
ALK24425,5,578,ADK63426
ADK63426,5,578,ADK63426
ALS03905,3,578,ALS03905
ALK24444,3,578,ALS03905
ACB97669,3,578,ALS03905
ALS03902,2,578,ALS03902
ABE73135,2,578,ALS03902
ALK24441,2,578,ALK24441
ABY79076,2,578,ALK24441
ALK24438,2,578,ALK24438
ABY60414,2,578,ALK24438
ALK24429,2,578,ALK24429
AEQ64892,2,578,ALK24429
YP_002308470,4,577,YP_002308470
ALS03899,4,577,YP_002308470
ALS03896,4,577,YP_002308470
ACJ23370,4,577,YP_002308470
YP_227600,3,576,YP_227600
ADZ58504,3,576,YP_227600
ARV85915,1,576,ARV85915
